126,31,3
126,28,3
126,20,4
126,34,1
126,32,4
126,40,5
126,2,1
126,26,2
126,16,2
126,4,4
126,13,3
126,38,5
126,3,1
126,7,4
126,25,3
125,6,1
125,14,5
125,5,3
125,23,4
125,38,2
125,2,1
125,23,3
125,32,4
125,24,5
125,6,4
125,23,1
125,21,5
125,25,2
125,35,3
125,11,1
124,12,2
124,19,2
124,34,2
124,14,3
124,26,2
124,40,5
124,38,3
124,18,3
124,29,5
124,16,4
124,16,2
124,2,5
124,10,3
124,6,5
124,18,1
123,23,2
123,10,1
123,29,4
123,15,2
123,34,3
123,32,4
123,37,4
123,17,3
123,35,5
123,5,1
123,31,2
123,36,2
123,24,2
123,28,3
123,38,5
122,10,1
122,21,4
122,33,1
122,17,2
122,30,4
122,37,4
122,12,4
122,11,4
122,35,2
122,13,3
122,28,2
122,7,1
122,36,1
122,18,3
122,32,4
121,40,2
121,38,3
121,5,4
121,15,3
121,23,2
121,19,2
121,4,4
121,28,4
121,31,1
121,11,5
121,24,1
121,3,1
121,36,2
121,23,4
121,18,3
121,10,2
120,38,4
120,35,5
120,16,2
120,17,5
120,23,3
120,26,2
120,37,1
120,7,5
120,30,1
120,14,1
120,19,4
120,31,4
120,36,2
120,10,1
120,34,1
119,12,1
119,15,3
119,28,2
119,17,5
119,26,1
119,23,5
119,23,1
119,25,1
119,11,1
119,16,1
119,13,1
119,38,5
119,10,1
119,20,2
119,34,2
118,4,3
118,33,2
118,7,4
118,15,4
118,6,5
118,38,2
118,28,5
118,14,4
118,26,5
118,17,3
118,31,1
118,37,1
118,3,1
118,10,2
118,8,4
117,18,2
117,10,5
117,19,4
117,30,4
117,31,5
117,28,4
117,23,1
117,25,2
117,40,3
117,34,1
117,13,5
117,30,1
117,28,5
117,37,3
117,26,1
116,4,5
116,21,4
116,18,3
116,20,1
116,33,5
116,8,3
116,35,3
116,19,1
116,14,4
116,4,5
116,10,3
116,38,1
116,6,3
116,32,2
116,23,5
115,31,3
115,38,3
115,3,4
115,19,3
115,26,5
115,40,4
115,29,4
115,2,3
115,2,4
115,13,4
115,14,1
115,35,4
115,12,4
115,30,5
115,32,2
114,8,2
114,15,4
114,21,2
114,23,5
114,26,1
114,3,1
114,24,1
114,34,5
114,16,1
114,4,5
114,12,3
114,40,5
114,28,1
114,23,5
114,35,3
113,14,5
113,38,2
113,25,4
113,28,5
113,14,5
113,28,3
113,36,1
113,20,1
113,24,2
113,2,5
113,10,2
113,38,3
113,33,2
113,3,3
113,11,2
112,30,1
112,31,2
112,7,2
112,10,2
112,26,5
112,29,4
112,21,3
112,16,3
112,40,3
112,25,1
112,36,1
112,33,2
112,19,1
112,30,5
112,31,3
107,14,5
107,38,4
107,8,2
107,18,4
107,5,2
107,2,4
107,40,5
107,3,5
107,15,2
107,7,1
107,37,5
107,20,3
107,2,5
107,32,1
107,32,3
108,17,5
108,35,5
108,23,3
108,26,5
108,30,3
108,28,5
108,10,3
108,16,4
108,5,5
108,8,3
108,28,1
108,21,3
108,6,2
108,34,4
108,14,2
111,18,5
111,24,2
111,19,5
111,10,2
111,16,2
111,7,3
111,25,5
111,2,1
111,5,1
111,28,3
111,29,5
111,28,1
111,21,2
111,34,1
111,8,5
110,6,3
110,19,5
110,14,2
110,10,2
110,30,5
110,40,3
110,4,2
110,12,1
110,35,4
110,10,5
110,30,4
110,14,3
110,7,2
110,20,1
110,6,5
127,4,2
127,13,1
127,16,4
127,24,5
127,32,2
127,11,5
127,33,1
127,10,1
127,21,1
127,15,2
127,28,2
127,8,5
127,19,3
127,34,3
127,10,2
128,23,1
128,20,1
128,23,2
128,19,3
128,4,2
128,35,3
128,31,4
128,25,4
128,32,3
128,16,3
128,3,5
128,12,4
128,38,3
128,2,1
128,13,5
129,24,1
129,18,1
129,37,4
129,15,1
129,7,4
129,33,4
129,25,4
129,5,4
129,16,4
129,8,5
129,40,5
129,17,4
129,12,2
129,10,1
129,6,4
130,38,3
130,10,3
130,35,2
130,28,2
130,21,5
130,29,1
130,11,3
130,14,5
130,26,3
130,17,1
130,23,5
130,38,5
130,5,2
130,15,5
130,34,5
131,29,5
131,4,2
131,40,1
131,3,2
131,10,4
131,35,5
131,37,1
131,28,3
131,21,2
131,6,4
131,25,1
131,26,4
131,2,2
131,16,2
131,24,1
131,21,5
132,15,5
132,13,2
132,32,3
132,10,5
132,30,4
132,28,1
132,29,5
132,38,3
132,10,4
132,40,5
132,35,4
132,33,4
132,6,1
132,12,1
132,14,3
133,38,4
133,28,4
133,20,2
133,5,3
133,13,1
133,35,1
133,12,4
133,30,3
133,6,4
133,26,2
133,10,1
133,33,4
133,24,4
133,8,5
133,36,2
134,17,2
134,14,1
134,16,4
134,3,3
134,21,3
134,38,4
134,34,4
134,32,3
107,21,5
107,23,2
107,24,3
107,25,3
107,26,2
107,29,3
107,30,2
107,31,5
107,32,4
107,33,4
110,18,5
